GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
500,1128UGA,107974,03/03/2002,2002,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Apac,Oyam,Minakulu,Minakulu,2.44000,32.38940,2,BBC Monitoring Africa - Political 6/3/2,Suspected LRA rebel attack - details not reported,0
500,1130UGA,107975,06/03/2002,2002,1,Battle-No change of territory,Unidentified Armed Group (Uganda),,3,Military Forces of Uganda (1986-),,1,13,Uganda,Kotido,Jie,Panyangara,Kotido,2.98060,34.13310,3,"BBC Monitoring Africa - Political 6/3/2, All Africa 8/3/2",At least 10 people are feared dead when the Ugandan army commenced a forced disarmament operation,10
500,1131UGA,107976,06/03/2002,2002,2,Violence against civilians,Military Forces of Uganda (1986-),,1,Civilians (Uganda),,7,17,Uganda,Kotido,Jie,Panyangara,Kotido,2.98060,34.13310,3,All Africa 8/3/0,2 people were tortured and wrongfully killed by the Ugandan army in a disarmament exercise,2
500,1132UGA,107977,16/03/2002,2002,2,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Gulu,Kilak,Lamogi,Kilak,2.84107,32.17612,2,BBC Monitoring Africa - Political 18/3/2,"LRA rebels attacked two camps for displaced people in Amuru sub-county over two days - in total, 6 civilians were killed and 30 were abducted",1
500,1133UGA,107978,16/03/2002,2002,2,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Gulu,Kilak,Lamogi,Kilak,2.84107,32.17612,2,BBC Monitoring Africa - Political 18/3/2,"LRA rebels attacked two camps for displaced people in Amuru sub-county over two days - in total, 6 civilians were killed and 30 were abducted",1
500,1136UGA,107979,17/03/2002,2002,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Gulu,Gulu,Pece,Gulu,2.76667,32.30556,3,BBC Monitoring Africa - Political 18/3/2,"LRA rebel attack - 4 people were abducted, one of the rebels was injured",0
500,1134UGA,107980,17/03/2002,2002,2,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Gulu,Kilak,Lamogi,Kilak,2.84107,32.17612,2,BBC Monitoring Africa - Political 18/3/2,"LRA rebels attacked two camps for displaced people in Amuru sub-county over two days - in total, 6 civilians were killed and 30 were abducted",2
500,1135UGA,107981,17/03/2002,2002,2,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Gulu,Kilak,Lamogi,Kilak,2.84107,32.17612,2,BBC Monitoring Africa - Political 18/3/2,"LRA rebels attacked two camps for displaced people in Amuru sub-county over two days - in total, 6 civilians were killed and 30 were abducted",2
500,1137UGA,107982,18/03/2002,2002,3,Strategic development,WNBF: West Nile Bank Front,,2,,,0,20,Uganda,Nebbi,Padyere,Nebbi Tc,Nebbi,2.47580,31.10250,3,BBC Monitoring Africa - Political 18/3/2,West Nile Bank Front rebels launch recruitment drivement drives,0
500,1138UGA,107983,22/03/2002,2002,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Kotido,Jie,Panyangara,Kotido,2.98060,34.13310,3,BBC Monitoring Africa - Political 23/3/2,LRA rebel ambush on a passenger vehicle - 3 civilians killed including an Irish priest,3
